company_name,job_description,job_salary,job_type,job_classification,company_review,company_benefits,company_size,company_industry,job_location
SEEK,Lead Data Engineer,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Avanade Malaysia Sdn Bhd,Data Engineer,"RM 8,000 per month",Full time,Engineering - Software (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking
Vision
Training & Microsoft Certificate",51-100 employees,Computer Software & Networking,Kuala Lumpur
SEEK,Senior Data Engineer,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
RHB Banking Group,"Data Engineer, DE (1011103)",No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Education support
Loans
Dental
Sports (e.g. Gym)
Parking
Vision
Performance Incentive Scheme","More than 10,000 employees",Banking & Financial Services,"Kuala Lumpur City Centre, Kuala Lumpur"
StarHub Ltd,Data Engineering,"RM 8,500 - RM 11,500 per month",Full time,Architects (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling Jaya, Selangor"
RHB Banking Group,"Data Engineer, DE (1011101)",No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Education support
Loans
Dental
Sports (e.g. Gym)
Parking
Vision
Performance Incentive Scheme","More than 10,000 employees",Banking & Financial Services,"Kuala Lumpur City Centre, Kuala Lumpur"
SEEK,Data Scientist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Cyber Village Sdn Bhd,Data Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),3.8,"Medical
Miscellaneous allowance
Dental
Parking",51-100 employees,Computer Software & Networking,"Damansara, Selangor"
SIMPLETRUSS SDN BHD,Data Engineer,"RM 7,000 - RM 10,000 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
PERSOLKELLY Workforce Solutions Malaysia Sdn Bhd,"Assistant Vice President, Data Engineer","RM 8,000 - RM 12,000 per month",Full time,Analysis & Reporting (Banking & Financial Services),4,No info for Company Benefits,"101-1,000 employees",Human Resources & Recruitment,"Kuala Lumpur Sentral, Kuala Lumpur"
KINESSO MALAYSIA SDN. BHD. (fka Mediabrands Global Technology Solutions Sdn Bhd),Data Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling Jaya, Selangor"
SkyWorld Development Berhad,Data Engineering,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.7,"Medical
Miscellaneous allowance
Loans
Dental
Sports (e.g. Gym)
Parking
Staff discount","101-1,000 employees",Real Estate & Property,Kuala Lumpur
MODE FAIR SDN BHD,AI Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),5,"Medical
Dental
Parking
Vision",11-50 employees,Computer Software & Networking,Kuala Lumpur
Schmidt iSoft (M) Sdn Bhd,Software Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling Jaya, Selangor"
Software International Corporation (M) Sdn Bhd,Associate Data Engineer (Fresh Graduates/ Junior),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),3.8,"Generous Annual Leave
Flexi Working Arrangement
Performance Bonus
Comprehensive Insurance Protection
Hybrid Working Mode
Individual Expenses Benefits
Company Trip/Event
Training (In-house & External)","101-1,000 employees",Information & Communication Technology,"Bukit Jalil, Kuala Lumpur"
VSTECS BERHAD,Pre Sales Engineer (Network Security / Data Center),"RM 4,000 - RM 6,000 per month",Full time,Sales - Pre & Post (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Parking
Sport Club, PA, GTL and hospitalisation coverage","101-1,000 employees",Computer Software & Networking,"Petaling Jaya, Selangor"
MINDTECK SOFTWARE MALAYSIA SDN BHD,DevOps Engineer (with Big Data experience),No info for Job Salary,Contract/Temp,Engineering - Software (Information & Communication Technology),4.7,No info for Company Benefits,"101-1,000 employees",Computer Software & Networking,Penang
GLOBAL DEVELOPMENT TECHNOLOGY SDN.BHD.,Data Center Engineer,"RM 4,500 - RM 6,000 per month",Full time,Other (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Iskandar Puteri, Johor"
Cohu Malaysia Sdn Bhd,Software Engineer (Data Analytics),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4,"Medical
Education support
Dental
Parking
Sports&Social Activities, Insurance, Fixed&Variabl","101-1,000 employees",Machinery & Automation,Melaka
Agensi Pekerjaan Randstad Sdn Bhd - Professional,Sr Electrical Engineer (Consultancy - Data Center),No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.3,No info for Company Benefits,51-100 employees,Services,Kuala Lumpur
Accenture Technology Solutions Sdn Bhd,Digital Data Reviewer - Japanese Speaker,No info for Job Salary,Contract/Temp,Customer Service - Call Centre (Call Centre & Customer Service),4.1,"Medical
Dental","1,001-5,000 employees",Consulting Services,Kuala Lumpur
PPG Coatings (Malaysia) Sdn Bhd (Korn Ferry),Data Analysis Specialist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,"Medical
insurance",51-100 employees,"Manufacturing, Transport & Logistics","Shah Alam/Subang, Selangor"
Agensi Pekerjaan GMRecruitment Sdn Bhd,HVAC Engineer (Hands-on Maintenance / Hyperscale Data Center),"RM 6,000 - RM 9,000 per month",Full time,Maintenance (Engineering),No info for Company Review,No info for Company Benefits,11-50 employees,Human Resources & Recruitment,"Cyberjaya, Selangor"
Agensi Pekerjaan Randstad Sdn Bhd - Professional,Mechanical/Electrical Design Engineer (Data Center) - KL,$6k - $8k p.m.,Contract/Temp,Mechanical Engineering (Engineering),4.3,No info for Company Benefits,51-100 employees,Services,Kuala Lumpur
Agensi Pekerjaan Randstad Sdn Bhd - Professional,"Sales Engineer (Semicon, Data Centre)","MYR 5,000 - MYR 6,000",Full time,Other (Construction),4.3,No info for Company Benefits,51-100 employees,Services,Kuala Lumpur
Agensi Pekerjaan Randstad Sdn Bhd - Professional,Data Center Commissioning Engineer (Johor) - Contract,$7k - $10k p.a.,Contract/Temp,Mechanical Engineering (Engineering),4.3,No info for Company Benefits,51-100 employees,Services,Kuala Lumpur
Averis Sdn Bhd,Data Engineer,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",3.1,"Medical, dental, and optical benefits
Cross-functional training
Overseas postings and short-term secondments
Learning and development programmes
Reward and recognition awards
Exciting recreational & employee engagement
Opportunities for job rotations
Professional membership subscriptions fees","101-1,000 employees",Consulting & Strategy,Kuala Lumpur
Agensi Pekerjaan Randstad Sdn Bhd - Professional,"Senior Electrical Design Engineer (Data Center), KL - Contract",$10k - $13k p.m.,Contract/Temp,Electrical/Electronic Engineering (Engineering),4.3,No info for Company Benefits,51-100 employees,Services,Kuala Lumpur
Agensi Pekerjaan Randstad Sdn Bhd - Professional,"Senior Mechanical Design Engineer (Data Center), KL - Contract",$10k - $13k p.m.,Contract/Temp,Mechanical Engineering (Engineering),4.3,No info for Company Benefits,51-100 employees,Services,Kuala Lumpur
Terrabit Consulting Sdn Bhd,AWS Data Engineer,"RM 8,500 - RM 12,000 per month",Full time,Engineering - Software (Information & Communication Technology),3,"Medical
Miscellaneous allowance
Loans
Parking","101-1,000 employees",Information & Communication Technology,Kuala Lumpur
Huawei Technologies (Malaysia) Sdn. Bhd,Senior Service Engineer (Data Center) - GSRC,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),3.6,"Medical
Miscellaneous allowance
Insurance and etc.","1,001-5,000 employees",Telecommunications & Internet Service Providers,Kuala Lumpur
TechxSA Solution Sdn Bhd,Data Engineer,No info for Job Salary,Contract/Temp,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Western Digital,Data Analytics Engineer,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
Genting Malaysia Berhad,SAS BI Developer / Data Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4,"Medical
Education support
Loans
Dental
Sports (e.g. Gym)
Free accommodation","More than 10,000 employees",Hotel & Accommodation Services,Kuala Lumpur
Frontier Force Technology Pte Ltd,Data Center Facility Engineer,"RM 8,000 - RM 12,000 per month",Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Iskandar Puteri, Johor"
Faculty Digital,Data Engineer / Consultant,"RM 6,000 - RM 9,000 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Agensi Pekerjaan RecruitFirst Sdn Bhd,Junior Data Engineer,"RM 4,000 - RM 5,000 per month",Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,11-50 employees,Human Resources & Recruitment,Kuala Lumpur
Infineon Technologies (Malaysia) Sdn Bhd,Principal Engineer Advanced Data Analytics,No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.4,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Parking
Vision","1,001-5,000 employees",Consumer Electronics Manufacturing,"Melaka, Melaka"
StepExo Robotics Sdn Bhd,Senior Machine Learning Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Bangsar, Kuala Lumpur"
Private Advertiser,Data Center Facility Solution Architect_AP Enterprise,No info for Job Salary,Contract/Temp,Architects (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
GlobalFoundries,Machine Learning Operations Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Penang
CIMB Bank Berhad,Development & Support (Big Data),No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4,"Medical
Loans
Dental
Sports (e.g. Gym)","More than 10,000 employees",Banking & Financial Services,Kuala Lumpur
Western Digital,"Principal Engineer, Big Data",No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Batu Kawan, Penang"
Avanade Malaysia Sdn Bhd,Database Engineer,"RM 8,000 per month",Full time,Database Development & Administration (Information & Communication Technology),4,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking
Vision
Training & Microsoft Certificate",51-100 employees,Computer Software & Networking,Kuala Lumpur
QL Corporate Services Sdn Bhd,Data Analytics Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),5,"Medical
Dental
Vision
Learning & Development","More than 10,000 employees","Agriculture, Forestry & Fishing","Shah Alam/Subang, Selangor"
Arvato Systems Malaysia Sdn Bhd,Senior Data & AI Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.5,"Medical
Miscellaneous allowance
Flexi Benefits (e.g. Mobile Allowance, Internet Al","101-1,000 employees",Computer Software & Networking,Kuala Lumpur
HTM PHARMACY GROUP,Data Analyst /Engineer,"RM 3,500 - RM 5,000 per month",Full time,Database Development & Administration (Information & Communication Technology),4.4,"Staff Discounts
Annual Dinner
Career Progression",51-100 employees,Healthcare & Medical,"Ipoh, Perak"
Dunham Bush Industries Sdn Bhd,Data Center Solution Support Engineer,No info for Job Salary,Full time,Other (Engineering),No info for Company Review,"Medical
Miscellaneous allowance
Education support
Sports (e.g. Gym)
Parking
Insurance, Training, Annual Bonus, Annual Dinner,","101-1,000 employees","Manufacturing, Transport & Logistics","Kajang/Bangi/Serdang, Selangor"
SEEK,"Director, AI Product",No info for Job Salary,Full time,Management (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Terrabit Consulting Sdn Bhd,Data Scientist,"RM 5,500 - RM 8,000 per month",Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",3,"Medical
Miscellaneous allowance
Loans
Parking","101-1,000 employees",Information & Communication Technology,Kuala Lumpur
Ideagen Plc.,Senior AI Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.3,"Medical
Dental
Vision
Life insurance, 16% EPF, Training, Flexible holida","101-1,000 employees",Computer Software & Networking,"Shah Alam, Selangor"
STMicroelectronics Sdn Bhd,Internship - Data Science,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4,"Medical
Education support
Dental
Sports (e.g. Gym)
Parking
car loan interest subsidies, year-end bonus, perfo","1,001-5,000 employees",Engineering,"Muar, Johor"
DR CLEAR ALIGNERS,AI Developer (Computer Vision),"RM 4,000 - RM 6,000 per month",Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,"Medical
Miscellaneous allowance
Dental
Parking","101-1,000 employees",Healthcare & Medical,"Cheras, Kuala Lumpur"
I Industries Sdn. Bhd.,Software Engineer,"RM 3,000 - RM 4,500 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,"Medical
Education support
Parking
SOSCO, EPF, Bonus",11-50 employees,Telecommunications & Internet Service Providers,Sarawak
Infineon Technologies (Malaysia) Sdn Bhd,Senior Specialist Information Technology - Business Intelligence Data Warehouse,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.4,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Parking
Vision","1,001-5,000 employees",Consumer Electronics Manufacturing,Melaka
STMicroelectronics Sdn Bhd,Statistician,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4,"Medical
Education support
Dental
Sports (e.g. Gym)
Parking
car loan interest subsidies, year-end bonus, perfo","1,001-5,000 employees",Engineering,"Muar, Johor"
Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,Data Management Engineer,$8000.0 - $12000.0 p.m.,Full time,Database Development & Administration (Information & Communication Technology),4.9,"Medical
Miscellaneous allowance
Dental",51-100 employees,Human Resources & Recruitment,"Petaling Jaya, Selangor"
ENGIE Services Malaysia Sdn Bhd,Project Engineer (Data Centre - Sedenak Johor),No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Sedenak, Johor"
HISEVEN SDN. BHD.,Devops Engineer,"RM 8,500 - RM 10,000 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Genting Malaysia Berhad,System Analyst - Data Engineering,No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),4,"Medical
Education support
Loans
Dental
Sports (e.g. Gym)
Free accommodation","More than 10,000 employees",Hotel & Accommodation Services,Kuala Lumpur
Accenture Technology Solutions Sdn Bhd,Digital Data Reviewer - Indonesian Speaker,No info for Job Salary,Contract/Temp,Customer Service - Call Centre (Call Centre & Customer Service),4.1,"Medical
Dental","1,001-5,000 employees",Consulting Services,Kuala Lumpur
Michael Page International (Malaysia) Sdn Bhd,Data Engineer,$96k - $120k p.a.,Full time,Engineering - Software (Information & Communication Technology),4.3,No info for Company Benefits,51-100 employees,Human Resources & Recruitment,"Petaling Jaya, Selangor"
WD Media (Malaysia) Sdn,"Principal Engineer, Supplier Quality System and Data Engineering",No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
EQUINIX Sdn Bhd,Data Center Critical Facilities Engineer (AO/A1 Chargeman),No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Cyberjaya, Selangor"
Western Digital,"Manager/Senior Manager, Memory Technology Solutions",No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Batu Kawan, Penang"
BASF Asia Pacific Service Centre Sdn Bhd,Salesforce DevOps Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.2,"Medical
Miscellaneous allowance
Education support
Dental
Sports (e.g. Gym)
Vision","101-1,000 employees",Science & Technology,Kuala Lumpur
timesconsult,Data Engineer @ Global MNC company,"RM 7,000 - RM 10,000 per month",Full time,Developers/Programmers (Information & Communication Technology),4.2,No info for Company Benefits,51-100 employees,Human Resources & Recruitment,"Bangsar South, Kuala Lumpur"
AmBank Group,ETL Developer (Stored Procedure),No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),4.1,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Vision","More than 10,000 employees",Banking & Financial Services,Kuala Lumpur
Pinpoint Asia,Data Engineer - Leading Fintech Firm,"RM 6,000 - RM 9,000 per month",Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Accenture Technology Solutions Sdn Bhd,Digital Data Reviewer - Arabic Speaker,No info for Job Salary,Contract/Temp,Customer Service - Call Centre (Call Centre & Customer Service),4.1,"Medical
Dental","1,001-5,000 employees",Consulting Services,Kuala Lumpur
FootfallCam,Machine Learning Engineer (Artificial Intelligence),"RM 4,000 - RM 6,000 per month",Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",3.8,"Medical
Parking
Staff Birthday Celebrations",51-100 employees,Computer Software & Networking,Kuala Lumpur
RENALWORKS MALAYSIA SDN. BHD.,Cloud/DevOps Engineer,"RM 8,000 - RM 11,000 per month",Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,"Medical
Miscellaneous allowance
Parking
Insurance, Festival Lunch, Flexible Working Hours",11-50 employees,Information & Communication Technology,"Petaling Jaya, Selangor"
Aptitude Asia Limited,Data Centre Engineer,"RM 6,000 - RM 9,000 per month",Full time,Networks & Systems Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
International Academy of Business and Technology,Ai Artificial Intelligence Course Content Developers and Educators,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Deloitte Consulting SEA,Consultant - Artificial Intelligence & Data (Data Engineer) - MY,No info for Job Salary,Full time,Consultants (Information & Communication Technology),3.9,Medical,51-100 employees,Accounting & Auditing,Kuala Lumpur
Agensi Pekerjaan GMRecruitment Sdn Bhd,Document Controller (Up to 8K / Hyperscale Data Center/ Kulai),"RM 6,500 - RM 8,000 per month",Full time,Project Management (Construction),No info for Company Review,No info for Company Benefits,11-50 employees,Human Resources & Recruitment,"Kulai District, Johor"
iTTG Consultancy Sdn. Bhd.,AI Specialist,"RM 6,000 - RM 9,000 per month",Contract/Temp,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Bandar Malaysia, Kuala Lumpur"
Terrabit Consulting Sdn Bhd,Data Engineer- Snowflake,"RM 7,500 - RM 11,000 per month",Full time,Engineering - Software (Information & Communication Technology),3,"Medical
Miscellaneous allowance
Loans
Parking","101-1,000 employees",Information & Communication Technology,Kuala Lumpur
Private Advertiser,Big Data Engineer - Cloud,"RM 9,000 - RM 13,000 per month",Contract/Temp,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
SIMPLETRUSS SDN BHD,DevOps Engineer,"RM 9,000 - RM 13,500 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Kuala Lumpur City Centre, Kuala Lumpur"
Abbott Penang (Formerly Known as St. Jude Medical),DevOps Cloud Engineer,No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Bayan Lepas, Penang"
X-FAB Sarawak Sdn Bhd,Data Scientist,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",4.3,"Medical
Miscellaneous allowance
Education support
Dental
Parking
Vision
Mother's Room, Surau, Shop","1,001-5,000 employees",Engineering,"Kuching, Sarawak"
DECATHLON MALAYSIA SDN. BHD.,Data Analyst,No info for Job Salary,Full time,Business/Systems Analysts (Information & Communication Technology),3.8,"Parking
Hospitalization, Outpatient Treatment, Life Insura","More than 10,000 employees",Sports & Fitness,"Petaling Jaya, Selangor"
Agensi Pekerjaan BTI Executive Search Sdn. Bhd.,Data Warehouse/ETL Engineer (ID:572264),No info for Job Salary,Full time,Engineering - Software (Information & Communication Technology),3.2,No info for Company Benefits,"101-1,000 employees",Human Resources & Recruitment,Kuala Lumpur
SNS Network (M) Sdn Bhd,AI Engineer,"RM 3,800 - RM 5,600 per month",Full time,Engineering - Software (Information & Communication Technology),4,"Loans
Medical
Miscellaneous allowance
Oversea Travel
Parking","101-1,000 employees",Computer Software & Networking,"Ipoh, Perak"
SEEK,Lead Data Engineer (Hybrid Working),No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Accenture Technology Solutions Sdn Bhd,Digital Data Reviewer - Korean Speaker,No info for Job Salary,Contract/Temp,Other (Call Centre & Customer Service),4.1,"Medical
Dental","1,001-5,000 employees",Consulting Services,Kuala Lumpur
Agensi Pekerjaan BTI Executive Search Sdn. Bhd.,AI Engineer,"RM 12,000 - RM 14,000 per month",Full time,Other (Information & Communication Technology),3.2,No info for Company Benefits,"101-1,000 employees",Human Resources & Recruitment,Kuala Lumpur
OpenSys Technologies Sdn Bhd,Cloud Engineer,No info for Job Salary,Full time,Other (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Petaling Jaya, Selangor"
Sunway Property,Intern - Data Analytics,No info for Job Salary,Contract/Temp,Business/Systems Analysts (Information & Communication Technology),4,"Medical
Education support
Dental
Parking
Vision","More than 10,000 employees",Trades & Services,"Bandar Sunway, Selangor"
B2B Commerce (M) Sdn Bhd,ETL Pentaho Developer,"RM 4,000 - RM 6,000 per month",Full time,Developers/Programmers (Information & Communication Technology),3.5,"Medical
Miscellaneous allowance
Dental",51-100 employees,Computer Software & Networking,"Petaling Jaya, Selangor"
Western Digital,"Staff Engineer, Data Science",No info for Job Salary,Full time,Electrical/Electronic Engineering (Engineering),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Batu Kawan, Penang"
SUPERCEED (M) SDN BHD,Data Scientist,"RM 5,000 - RM 7,000 per month",Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",3.8,"Medical
KWSP, SOCSO",11-50 employees,Information & Communication Technology,Kuala Lumpur
TRIIIO VERTEX SDN. BHD.,"Data Engineer- SQL, ETL and MicroStrategy","RM 7,000 - RM 10,000 per month",Full time,Developers/Programmers (Information & Communication Technology),5,"Medical
Miscellaneous allowance",11-50 employees,Consulting Services,"Bangsar South, Kuala Lumpur"
Global Wisdom Services Sdn Bhd,AI Operations Specialist,"RM 8,000 - RM 12,000 per month",Full time,Customer Service - Call Centre (Call Centre & Customer Service),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
BRIGHTEN BUSINESS CONSULTING SDN. BHD.,Senior Software Developer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),2.6,"Medical
Miscellaneous allowance
Dental
Parking
Hospitalisation Insurance",51-100 employees,Services,Kuala Lumpur
WD Media (Malaysia) Sdn,"Data Quality Engineer, Quality Assurance Engineering",No info for Job Salary,Full time,"Quality Assurance & Control (Manufacturing, Transport & Logistics)",4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
Western Digital,(Masters Fresh Grad ONLY) Data Scientist,No info for Job Salary,Full time,Database Development & Administration (Information & Communication Technology),4.3,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Parking","1,001-5,000 employees",Consumer Electronics Manufacturing,"Bayan Lepas, Penang"
SYGNA (MALAYSIA) SDN. BHD.,Project Engineer (M&E - Data Centre),No info for Job Salary,Full time,Mechanical Engineering (Engineering),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Johor
Kasatria Technologies Sdn Bhd,Junior Marketing Data Scientist for Google Analytics,No info for Job Salary,Full time,"Mathematics, Statistics & Information Sciences (Science & Technology)",No info for Company Review,"Medical
Education support
Parking",11-50 employees,Computer Software & Networking,Kuala Lumpur
Duriane Professionals Sdn Bhd,Senior Electrical Engineer with experience in Data Centre (Contract),"RM 7,000 - RM 8,000 per month",Contract/Temp,Electrical/Electronic Engineering (Engineering),4.5,"Medical
Parking",11-50 employees,Construction,"Kempas, Johor"
EM2Ai Sdn Bhd,AI Engineer,"RM 5,000 - RM 7,000 per month",Full time,Engineering - Software (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,"Subang Jaya, Selangor"
PWG ENTERPRISE,AWS System Engineer,"RM 8,000 - RM 10,000 per month",Full time,Security (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
Sonepar SouthEast Asia Sdn Bhd,Master Data Specialist,No info for Job Salary,Full time,Other (Information & Communication Technology),No info for Company Review,"Medical
Dental
Parking
Vision",11-50 employees,Information & Communication Technology,"Puchong, Selangor"
AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD,DevOps Engineer (AWS),"RM 10,000 - RM 12,000 per month",Full time,Developers/Programmers (Information & Communication Technology),3.8,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Vision",11-50 employees,Human Resources & Recruitment,"Ara Damansara, Selangor"
Agensi Pekerjaan GMRecruitment Sdn Bhd,Senior Shift Engineer (Electrical) - Up to 6 months bonus / Data Center / Kulai,"RM 10,700 - RM 16,000 per month",Full time,Electrical/Electronic Engineering (Engineering),No info for Company Review,No info for Company Benefits,11-50 employees,Human Resources & Recruitment,Johor
Private Advertiser,CI/CD Software Engineer,No info for Job Salary,Full time,Developers/Programmers (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
AGENSI PEKERJAAN JS STAFFING SERVICES SDN BHD,System Application Engineer / Developer (Python / C#),"RM 8,000 - RM 10,000 per month",Full time,Developers/Programmers (Information & Communication Technology),3.8,"Medical
Miscellaneous allowance
Dental
Sports (e.g. Gym)
Vision",11-50 employees,Human Resources & Recruitment,"Simpang Ampat, Penang"
SEEK,Principal Architect - Data (Hybrid Working),No info for Job Salary,Full time,Architects (Information & Communication Technology),No info for Company Review,No info for Company Benefits,No info for Company Size,No info for Company Industry,Kuala Lumpur
